article_id,article_bias,text,discourse_role,prev_discourse_role,next_discourse_role,has_bias,annotations
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,But one of them shouldn’t be the chairman of the Republican Party.”,Speech,Distant_Evaluation,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"A spokesman for the Democratic National Committee, Brad Woodhouse, said Mr. Steele was “betting against our troops and rooting for failure in Afghanistan.” Republican officials dismissed that criticism.",Distant_Evaluation,Speech,Distant_Evaluation,True,"[{'txt': '“betting against our troops and rooting for failure in Afghanistan.”', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p14'}]"
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"When Mr. Steele made the remarks, he was speaking to Republican contributors at a fund-raiser in Connecticut.",Distant_Evaluation,Distant_Evaluation,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"Linda McMahon, the party’s candidate for the United States Senate in Connecticut, was in the audience, along with other leading state Republicans.",Cause_General,Distant_Evaluation,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,The video appears to have been taken by a hidden camera at an event that was closed to the press.,Cause_General,Cause_General,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"Republican officials did not dispute the authenticity of the video, but disputed its characterization.",Cause_General,Cause_General,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"In his statement on Friday afternoon, Mr. Steele did not respond to the call for his resignation.",Cause_General,Cause_General,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,But he sought to make the case that Afghanistan is now Mr. Obama’s war.,Cause_General,Cause_General,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"“For the sake of the security of the free world, our country must give our troops the support necessary to win this war,” Mr. Steele said.",Distant_Evaluation,Cause_General,Speech,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"“As we have learned throughout history, winning a war in Afghanistan is a difficult task.",Speech,Distant_Evaluation,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,We must also remember that after the tragedy of Sept.,Distant_Evaluation,Speech,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"11, 2001, it is also a necessary one.”",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"He added, with a reference to Gen.",Distant_Evaluation,Distant_Evaluation,Distant_Historical,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,David H.,Distant_Historical,Distant_Evaluation,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"Petraeus: “That is why I supported the decision to increase our troop force and, like the entire United States Senate, I support General Petraeus’s confirmation.",Cause_General,Distant_Historical,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,The stakes are too high for us to accept anything but success in Afghanistan.”,Distant_Evaluation,Cause_General,NONE,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"Republican senators kept up pressure on party Chairman Michael Steele Sunday to better explain -- and publicly apologize for -- his on-camera claim that Afghanistan is a ""war of Obama's choosing"" and may not be winnable.",Distant_Evaluation,NONE,Main,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,The backlash built quickly over the weekend as some prominent conservatives called for Steele's resignation.,Main,Distant_Evaluation,Cause_General,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"Speaking on ""Fox News Sunday,"" Sen.",Cause_General,Main,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"Jim DeMint, R-S.C., would not go that far but said Steele must apologize to the troops.",Speech,Cause_General,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"""Chairman Steele needs to apologize to our military, all the men and women who've been fighting in Afghanistan,"" he said.",Speech,Speech,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"""This is America's war.",Speech,Speech,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"It's not Obama's war.""",Speech,Speech,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"The GOP chairman is known for off-the-cuff and occasionally troublesome comments, but the Afghanistan remarks were too much to bear for some war-supporting Republicans.",Speech,Speech,Distant_Evaluation,True,"[{'txt': 'The GOP chairman is known for off-the-cuff and occasionally troublesome comments', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'no', 'speaker': '', 'id': 'p6'}]"
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"DeMint, who said Afghanistan is a war the United States must win, said Steele needs to ""refocus"" on the November election.",Distant_Evaluation,Speech,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"He called Steele's comments ""unacceptable"" and ""inaccurate.""",Speech,Distant_Evaluation,Distant_Evaluation,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"""We need a chairman who's focused,"" DeMint said.",Distant_Evaluation,Speech,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"Speaking on ABC's ""This Week,"" Sen.",Speech,Distant_Evaluation,Cause_General,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"John McCain, R-Ariz., said Steele's comments were ""wildly inaccurate.""",Cause_General,Speech,Distant_Evaluation,True,"[{'txt': 'wildly', 'bias': 'lex', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p10'}]"
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"The Arizona Republican said Steele needs to assess whether he can still function in his job and must make ""an appropriate decision"" about his future.",Distant_Evaluation,Cause_General,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"Trying to quell the furor, Steele issued a statement saying: ""There is no question that America must win the war on terror.",Speech,Distant_Evaluation,Distant_Evaluation,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,...,Distant_Evaluation,Speech,Distant_Evaluation,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"And, for the sake of the security of the free world, our country must give our troops the support necessary to win this war.""",Distant_Evaluation,Distant_Evaluation,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"He sent an e-mail to RNC members saying he hoped his statement would ""clear up any confusion"" caused by his earlier remarks.",Speech,Distant_Evaluation,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,That didn't seem to quiet the controversy in the slightest.,Speech,Speech,Distant_Evaluation,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"Weekly Standard Editor Bill Kristol, who led the charge of conservatives calling for Steele to step down over the remark, said on ""Fox News Sunday"" that Steele still needs to go -- though he said Steele tried to convince him otherwise.",Distant_Evaluation,Speech,Speech,False,[]
238b97e4-c6f7-4fbb-87c2-3c92c5fb3b03,conservative,"""I think it would be better if he went,"" he said.",Speech,Distant_Evaluation,NONE,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"Several prominent conservatives offered swift, negative reactions to Michael Steele on Friday, after the RNC chairman was caught on camera saying that Afghanistan is a largely unwinnable war of President Obama’s choosing.",Distant_Evaluation,NONE,Cause_General,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,The pushback crested with Bill Kristol — still an influential voice among Republican lawmakers — writing a letter to Steele on his Weekly Standard site calling for the RNC leader’s resignation.,Cause_General,Distant_Evaluation,Main,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"“Needless to say, the war in Afghanistan was not “a war of Obama’s choosing.” It has been prosecuted by the United States under Presidents Bush and Obama.",Main,Cause_General,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,Republicans have consistently supported the effort.,Distant_Evaluation,Main,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"Indeed, as the DNC Communications Director (of all people) has said, your statement “puts [you] at odds with about 100 percent of the Republican Party.",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,And not on a trivial matter.,Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,At a time when Gen.,Distant_Evaluation,Distant_Evaluation,Distant_Historical,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"Petraeus has just taken over command, when Republicans in Congress are pushing for a clean war funding resolution, when Republicans around the country are doing their best to rally their fellow citizens behind the mission, your comment is more than an embarrassment.",Distant_Historical,Distant_Evaluation,Distant_Evaluation,True,"[{'txt': 'your comment is more than an embarrassment', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p7'}]"
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"It’s an affront, both to the honor of the Republican party and to the commitment of the soldiers fighting to accomplish the mission they’ve been asked to take on by our elected leaders.",Distant_Evaluation,Distant_Historical,Distant_Evaluation,True,"[{'txt': 'It’s an affront', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p8'}]"
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"There are, of course, those who think we should pull out of Afghanistan, and they’re certainly entitled to make their case.",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,But one of them shouldn’t be the chairman of the Republican party.”,Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"Kristol’s was the harshest of all the reactions to the Steele, whose spokesman, it should be noted, tried to clarify the comment by insisting that he merely meant that President Obama has not been forthcoming with a winning strategy.",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,But the Weekly Standard editor was not alone.,Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"Another major neoconservative figure, Dan Senor, told the Huffington Post that Steele’s comments are “utterly irresponsible.” Senor, who served under the Bush administration as chief spokesman in Iraq and has been a major booster of efforts to escalate U.S. military presence in Afghanistan, noted that Steele’s RNC actually sponsored a conference call for his group to praise Obama’s Afghan surge last year.",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,True,"[{'txt': '“utterly irresponsible.”', 'bias': 'lex', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p13'}, {'txt': 'Steele’s RNC actually sponsored a conference call for his group to praise Obama’s Afghan surge last year', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'no', 'speaker': '', 'id': 'p14'}]"
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"Indeed, even Steele himself declared back in December that Afghanistan is “’a war we have to win” — a far cry from the comments he made Thursday night, in which he said: “...you don’t do is engage in a land war in Afghanistan, alright, because everyone who’s tried over a thousand years of history has failed.”",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,True,"[{'txt': 'far cry', 'bias': 'lex', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'no', 'speaker': '', 'id': 'p15'}]"
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"“It’s completely inconsistent with this latest statement,” summarized Senor.",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,True,"[{'txt': '“It’s completely inconsistent with this latest statement,”', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p16'}]"
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"In a bit of irony, Steele’s most recent comments have actually resonated among anti-war Democrats who share the skepticism that Afghanistan is a winnable enterprise.",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"They also, in some respects, echo the opinions of some members of the conservative community (Joe Scarborough and George Will among them) who have been critical of the deployment of U.S. forces in that country.",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,But Steele is not an anti-war Democrat.,Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,Nor is he a pundit.,Distant_Evaluation,Distant_Evaluation,Cause_General,False,[]
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"He is the figurehead of the Republican Party whose tenure, once again, seems shaky.",Cause_General,Distant_Evaluation,Distant_Evaluation,True,"[{'txt': 'once again', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'no', 'speaker': '', 'id': 'p20'}]"
f03b6656-7eb7-4446-968a-d6aa805fd4a3,liberal,"Shortly after Kristol called for his resignation, a GOP operative began pitching the column to reporters, hoping that the meme of Steele’s troubles would spread far and wide.",Distant_Evaluation,Cause_General,NONE,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"President Obama’s chief of staff used former President Bill Clinton as an intermediary to see if Representative Joe Sestak would drop out of Pennsylvania’s Democratic Senate primary if given a prominent, but unpaid, advisory position, the White House said on Friday.",Main,NONE,Main,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Rahm Emanuel, the chief of staff, asked Mr. Clinton last summer to explore “options of service” on a presidential or senior government advisory board with Mr. Sestak, the White House said in a statement.",Main,Main,Distant_Historical,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,Mr. Sestak said no and went on to win last week’s primary against Senator Arlen Specter.,Distant_Historical,Main,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,The White House disputed Republican claims that the conversations might be illegal or improper.,Cause_General,Distant_Historical,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"“There was no such impropriety,” Robert F.",Cause_General,Cause_General,Distant_Evaluation,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Bauer, the White House counsel, said in a memo released to reporters.",Distant_Evaluation,Cause_General,Distant_Evaluation,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,“The Democratic Party leadership had a legitimate interest in averting a divisive primary fight and a similarly legitimate concern about the congressman vacating his seat in the House.”,Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,Mr. Bauer went on to say that such horse-trading has been commonplace through history.,Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,True,"[{'txt': 'Mr. Bauer went on to say that such horse-trading has been commonplace through history.', 'bias': 'inf', 'polarity': 'pos', 'target': 'Obama_administration', 'aim': 'dir', 'quote': 'no', 'speaker': '', 'id': 'p6'}]"
73b9c883-1fce-456d-8f13-29006e58ff13,center,"“There have been numerous, reported instances in the past when prior administrations – both Democratic and Republican, and motivated by the same goals – discussed alternative paths to service for qualified individuals also considering campaigns for public office,” he wrote.",Distant_Evaluation,Distant_Evaluation,Speech,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,“Such discussions are fully consistent with the relevant law and ethical requirements.”,Speech,Distant_Evaluation,Distant_Evaluation,True,"[{'txt': '“Such discussions are fully consistent with the relevant law and ethical requirements.”', 'bias': 'inf', 'polarity': 'pos', 'target': 'Obama_administration', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_pro', 'id': 'p8'}]"
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Representative Darrell Issa of California, the senior Republican on the House Oversight and Government Reform Committee, said the interactions described by the White House “represent an illegal quid pro quo,” even if the position was unpaid.",Distant_Evaluation,Speech,Distant_Evaluation,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,“It is abundantly clear that this kind of conduct is contrary to President Obama’s pledge to change ’business as usual’ and that his administration has engaged in the kind of political shenanigans he once campaigned to end.”,Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,True,"[{'txt': '“It is abundantly clear that this kind of conduct is contrary to President Obama’s pledge to change ’business as usual’ and that his administration has engaged in the kind of political shenanigans he once campaigned to end.”', 'bias': 'inf', 'polarity': 'neg', 'target': 'Obama_administration', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p10'}, {'txt': 'shenanigans', 'bias': 'lex', 'polarity': 'neg', 'target': 'Obama_administration', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p10'}]"
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Federal law makes it a crime for anyone “who directly or indirectly, promises any employment, position, compensation, contract, appointment, or any other benefit” to someone else “as consideration, favor, or reward for any political activity or for the support of or opposition to any candidate or any political party in connection with any general or special election to any political office.” It is also illegal for a government official to use “his official authority for the purpose of interfering with, or affecting, the nomination or the election of any candidate” for Senate.",Distant_Evaluation,Distant_Evaluation,Distant_Evaluation,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"While many have speculated that the White House offered to appoint Mr. Sestak as secretary of the Navy, Mr. Bauer said that was never the case.",Distant_Evaluation,Distant_Evaluation,Speech,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"The White House did not offer Mr. Sestak a full-time paid position because Mr. Emanuel wanted him to stay in the House rather than risk losing his seat, so he considered “uncompensated advisory board options.”",Speech,Distant_Evaluation,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"The White House did not disclose what those options were, but people briefed on the matter said one option was an appointment to the president’s Intelligence Advisory Board, a panel of prominent Americans outside government who provide independent oversight of the nation’s spy apparatus and advise the president.",Cause_General,Speech,Main,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,But White House officials discovered that it would not work because Mr. Sestak could not serve on the board while still serving in Congress.,Main,Cause_General,Distant_Historical,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"In a statement Friday, Mr. Sestak said Mr. Clinton had conveyed Mr. Emanuel’s suggestion that he join a “presidential board” while remaining in the House, but he declined.",Distant_Historical,Main,Speech,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"“I told President Clinton that my only consideration in getting into the Senate race or not was whether it was the right thing to do for Pennsylvania working families and not any offer,” Mr. Sestak said.",Speech,Distant_Historical,Speech,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"“The former president said he knew I’d say that, and the conversation moved on to other subjects.”",Speech,Speech,Speech,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Mr. Sestak first mentioned publicly in February that he had been offered a job but provided no details, and the White House for three months had refused to discuss it, generating intense criticism from Republicans who accused it of trying to bribe a congressman and deep consternation among Democrats who called on the administration to answer questions.",Speech,Speech,Distant_Historical,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Mr. Emanuel was eager last summer to clear the way to this year’s Democratic Senate nomination for Mr. Specter, who had just left the Republican party, and to bolster Democrats’ majority in the Senate.",Distant_Historical,Speech,Distant_Historical,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Mr. Sestak, a retired admiral and two-term House member, was already planning a run.",Distant_Historical,Distant_Historical,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"In tapping Mr. Clinton as the go-between, Mr. Emanuel picked the party’s most prominent figure other than Mr. Obama and someone Mr. Sestak had worked for on the National Security Council in the 1990s.",Cause_General,Distant_Historical,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Mr. Sestak endorsed Hillary Rodham Clinton against Mr. Obama in the 2008 presidential primaries, and Mr. Clinton was one of the first to call to congratulate him on his Senate victory last week.",Cause_General,Cause_General,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,Mr. Clinton was at the White House on Thursday to have lunch with Mr. Obama and join him in greeting the American men’s World Cup soccer team heading to South Africa.,Cause_General,Cause_General,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"As chief of staff and previously as chairman of the Democratic Congressional Campaign Committee, Mr. Emanuel has not been shy about trying to steer party nominations to those he considers the stronger candidates.",Cause_General,Cause_General,Distant_Evaluation,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,The White House under Mr. Emanuel has also leaned on Gov.,Distant_Evaluation,Cause_General,Distant_Evaluation,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"David Paterson of New York to drop out of this year’s gubernatorial race, which he eventually did under a cloud of scandal.",Distant_Evaluation,Distant_Evaluation,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Mr. Emanuel’s deputy, Jim Messina, suggested a possible administration job to Andrew Romanoff to get him to not challenge Sen.",Cause_General,Distant_Evaluation,Distant_Expectations_Consequences,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Michael Bennet in a Colorado primary, The Denver Post has reported, citing unnamed sources.",Distant_Expectations_Consequences,Cause_General,Main,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,Whether that constitutes ordinary political horse-trading or crosses a legal line has been debated in Washington for months.,Main,Distant_Expectations_Consequences,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,Democrats and some Republicans have said it is hardly unusual for presidents to offer political appointments to clear the way for allies.,Cause_General,Main,Distant_Evaluation,True,"[{'txt': 'Democrats and some Republicans have said it is hardly unusual for presidents to offer political appointments to clear the way for allies.', 'bias': 'inf', 'polarity': 'pos', 'target': 'Obama_administration', 'aim': 'dir', 'quote': 'no', 'speaker': '', 'id': 'p30'}]"
73b9c883-1fce-456d-8f13-29006e58ff13,center,But Republicans have suggested such actions may constitute a crime.,Distant_Evaluation,Cause_General,Distant_Evaluation,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,Mr. Issa and all seven Republicans on the Senate Judiciary Committee have asked the Justice Department to appoint a special prosecutor.,Distant_Evaluation,Distant_Evaluation,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,The Justice Department wrote Mr. Issa last week that it did not need a special prosecutor to investigate if it chose to do so.,Cause_General,Distant_Evaluation,Cause_Specific,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"Government officials, who asked not to be identified discussing legal decisions, said that neither the Justice Department nor the Office of Special Counsel, an agency that looks at violations of the Hatch Act governing the political conduct of federal employees, is investigating.",Cause_Specific,Cause_General,Cause_General,False,[]
73b9c883-1fce-456d-8f13-29006e58ff13,center,"While declining to discuss what happened, Mr. Obama on Thursday said, “I can assure the public that nothing improper took place.”",Cause_General,Cause_Specific,NONE,False,[]
9fb5214f-563a-4fc5-b204-fac51cb2ca31,conservative,The White House asked former President Bill Clinton to talk to Rep.,Main,NONE,Cause_General,False,[]
9fb5214f-563a-4fc5-b204-fac51cb2ca31,conservative,Joe Sestak about the possibility of obtaining a senior position in the Obama administration if he would drop out of the Democratic primary race against establishment-backed Sen.,Cause_General,Main,Distant_Expectations_Consequences,False,[]
